EPD_P_A_5-10	EPD_P_A_5-11	EPD_P_A_5-12	EPD_P_A_5-13	EPD_P_A_5-8	EPD_P_A_5-9	EPD_P_B_5-10	EPD_P_B_5-11	EPD_P_B_5-12	EPD_P_B_5-13	EPD_P_B_5-8	EPD_P_B_5-9	EPD_P_C_5-10	EPD_P_C_5-11	EPD_P_C_5-12	EPD_P_C_5-13	EPD_P_C_5-8	EPD_P_C_5-9	EPD_S_A_5-10	EPD_S_A_5-11	EPD_S_A_5-13	EPD_S_A_5-8	EPD_S_A_5-9	EPD_S_B_5-10	EPD_S_B_5-11	EPD_S_B_5-12	EPD_S_B_5-13	EPD_S_B_5-8	EPD_S_B_5-9	EPD_S_C_5-10	EPD_S_C_5-11	EPD_S_C_5-12	EPD_S_C_5-13	EPD_S_C_5-8	EPD_S_C_5-9	
CAF30943	71.66472976	64.24255437	104.0280373	46.56229255	16.39427144	47.23733538	37.24341151	89.38825953	67.07281391	94.81832713	45.11265418	21.65326441	45.78046371	84.53025611	51.72423603	44.77998139	48.40461568	36.8750024	27.39197922	13.83839588	32.27507099	0	99.25987318	43.31624096	26.5628443	80.51570872	44.00521267	25.55974779	0	31.16235081	20.38833593	69.17051864	29.91797298	0	0
CAF30944	0	0	0	19.81110859	0	0	22.01344227	0	73.37578005	78.75596959	0	0	0	0	0	38.00561008	0	0	0	139.2659912	33.44899296	0	107.1195812	0	0	229.1754304	0	0	0	0	0	0	0	0	0
CAF30945	2.660214189	0	0	0	6.001059722	6.550192754	0	0	0	10.32697475	0	3.605525809	0	0	0	0	0	0	0	0	0	0	0	11.60825347	0	11.55321246	12.12833991	0	0	0	7.952017309	20.1545531	0	67.40416972	26.72405167
CAF30946	0	206.150045	0	0	0	175.1496667	123.8912553	162.243433	0	0	0	0	0	247.1022828	0	0	0	0	0	0	188.7878121	0	0	0	196.201008	0	0	0	0	0	0	0	0	0	0
CAF30947	646.4670894	677.0969657	598.8311541	673.6196145	470.7675745	779.6528962	483.1592954	730.6422533	777.7586257	520.788465	416.983374	587.2637589	656.730062	360.5231667	856.0408256	725.6245482	714.2868517	719.4145276	623.5687698	556.3053009	897.5082273	0	487.2662701	842.2881262	600.7174016	1067.253374	425.5670133	867.8674419	588.9500101	606.0792325	835.2009719	706.7366694	810.4567577	649.6545241	690.2292717
CAF30948	239.7296253	297.670247	253.2590198	300.700382	189.6716238	226.6616433	168.0982938	286.6273724	192.0817447	121.1468103	200.9988988	211.9695172	197.8067357	162.1196545	214.5681641	202.0815096	152.0067609	180.2577277	154.5176767	195.3524498	251.2739183	0	214.424627	168.4247536	158.2794464	209.2214918	175.4593711	100.3242902	188.3664026	97.04456474	176.4392764	140.6076315	249.5477165	317.250176	110.8148155
CAF30949	9.479305663	31.40883194	23.55053393	16.77026792	50.55668883	25.25701628	19.61600319	0	0	0	0	27.69667322	0	0	0	34.43994993	0	0	0	47.34257214	54.62949799	0	0	0	30.57989684	0	0	0	0	0	0	0	0	141.4970554	0
CAF30950	16.66686837	36.63988954	0	18.60912807	0	0	0	14.37123977	0	40.53435619	0	0	0	21.31861254	0	0	0	20.30052569	45.67162502	28.63404899	0	0	0	23.39006313	19.9263859	43.84274964	48.00147238	0	0	0	0	0	0	0	0
CAF30951	11.31412124	19.77140063	10.61001286	6.120510022	0	9.919820091	11.14934213	11.73176942	11.4776194	25.0518107	6.279639492	8.670411004	8.376500965	6.904672766	17.7937488	11.78294373	9.145411557	8.469106334	2.965400286	4.640385254	22.57801118	0	0	24.18788262	14.17219518	0	14.17045782	0	14.58354344	15.82317903	13.24405097	22.28208493	9.928872345	0	8.117604502
CAF30952	259.2103598	268.4912896	290.020991	330.8840616	89.45669778	268.9644803	154.417864	267.83408	460.7066966	462.8856482	78.82418734	229.750533	208.9622856	143.7277931	152.1089234	175.6002667	127.1791187	221.1448729	340.0900041	341.6325785	383.780162	0	256.0970376	344.6078953	272.5889601	398.2647741	128.312967	143.5742962	267.9412355	508.4907902	375.4960365	291.4902514	240.0441086	309.613421	292.389934
CAF30953	74.26769142	97.03769935	98.15741596	123.6799928	28.01764487	47.90045764	78.20859626	101.4673148	51.01478282	31.87230749	17.67057348	74.88652125	90.14590391	50.33170858	152.977733	174.7490074	26.64433897	85.83604403	74.73532837	36.73771341	72.00586727	0	24.48854346	37.47340931	40.58997813	64.31204539	36.71638823	0	29.757484	48.27321956	69.22243551	68.1451112	59.69321516	20.47385919	26.75107606
CAF30954	84.29382602	49.90256307	85.21446708	99.35995149	10.22127411	68.67089421	101.7810899	67.84799848	40.58720538	15.28905215	32.92221236	94.51255746	46.35288099	87.05591271	54.09297086	56.32660923	28.64201698	106.832001	72.44382486	118.8308533	93.83480086	0	53.92060941	66.65659055	97.42072855	53.60873599	69.01184119	0	17.30226717	109.0944192	97.13054497	92.38711851	0	31.64596968	139.8584593
CAF30955	72.51215506	97.46926901	172.5875553	142.6002709	0	48.16030128	56.25066301	154.9040104	87.03136483	66.19807665	7.681679919	75.2620167	83.28927702	104.2736527	136.1176705	140.530047	0	93.98116793	97.17036587	73.68644687	122.2633701	0	42.87593979	97.56055668	92.00509674	38.91566397	41.5442192	0	54.56388218	63.85960527	74.73860626	84.87977829	63.64028949	127.4035747	44.49444558
CAF30956	2411.329527	3516.363946	3934.954737	2555.202945	1301.029991	4698.524518	2661.662768	3813.613928	3693.398594	1670.928149	1760.64804	1275.652484	2102.904887	1320.175323	4958.715443	2556.690234	306.9948094	2783.558975	2739.975464	3501.575233	2864.192887	0	1864.014835	3230.405022	3287.971653	1710.219389	4621.862173	384.8123669	1633.119707	4025.438434	3301.565622	3753.801957	2551.826644	3005.78486	3177.709626
